Quota	Shamith	Adhiraj	Rhythm	None of the Above
Exec	1	4	2	3
General	2	4	1	3
General	1	3	2	Na
Leader	2	3	1	Wut
Leader	1	3	2	4
Leader	1	3	4	2
Leader	1	3	2	what
Exec	1	4	3	2
Leader	1	4	2	3
Exec	1	3	2	Na
General	1	3	2	4
General	1	N/A	2	3
General	1	3	2	none
General	3	4	1	2
General	1	3	2	-
General	1	2	3	Nah
General	1	3	2	4
General	2	3	1	4
General	2	1	3	4
General	1	3	2	N/A
General	1	3	2	N/A
Leader	1	4	3	2
General	1	2	3	4
General	2	3	1	4
General	1	2	3	4
Leader	1	3	2	4
General	2	4	1	3
Exec	1	3	2	4
General	2	1	3	4
Leader	2	3	1	4
General	1	3	2	4
General	1	3	2	N/A
General	3	1	2	4
Exec	1	2	3	4
General	2	1	3	4
General	2	3	1	4
Exec	1	3	2	4
General	3	2	1	4
Leader	3	2	1	4
Exec	1	3	2	4
General	3	2	4	1
General	1	3	2	4
General	0	0	0	1
Exec	1	3	2	4
Exec	2	3	1	4
General	1	2	3	N/A
Exec	2	3	1	n/a